source_id,angular_distance,number_of_neighbours,gaia_astrometric_params,table2_oid,ra,dec,ep,vmag,sptype,dist,pmra,pmde,simbadname,original_ext_source_id
1988193348339562880,0.03163543851875062,1,5,1546,337.82291666666663,50.282222222222224,2000,3.76,"A1V    ",31.3,0.14,0.02,HIP111169,111169.0
1558718059209082752,0.005065756368615513,1,5,927,205.09666666666664,50.51916666666666,2000,6.31,"F7.7V  ",25.2,-0.12,0.06,HIP66704,66704.0
791297254127958784,0.003822280184276836,1,5,802,176.76458333333332,50.97166666666667,2000,9.51,"M0V:p  ",24.6,0.06,-0.11,HIP57493,57493.0
2136027771930903808,0.008801562521199912,1,5,1345,293.5825,51.23638888888889,2000,5.71,"F7V    ",25.5,0.03,-0.19,HIP96258,96258.0
1511727333122255744,0.007262757862849185,1,5,965,214.04125,51.367222222222225,2000,4.75,"A9V    ",29.8,-0.15,0.09,HIP69713,69713.0
215395053733297024,0.004975315606016624,1,5,403,84.54958333333332,51.44555555555555,2000,7.74,"K2V    ",20.5,-0.55,0.11,HIP26505,26505.0
265722999473092608,0.004266964433670521,1,5,368,76.66916666666665,51.597500000000004,2000,4.98,"F0V    ",26.2,-0.03,-0.17,HIP23783,23783.0
1016370651588789632,0.014168779779507349,1,5,624,137.21791666666664,51.60444444444445,2000,4.46,"Am     ",29.3,-0.14,-0.03,HIP44901,44901.0
2145277550935525760,0.005517744922499166,1,5,1273,278.48249999999996,51.71888888888889,2000,8.2,"K7Vvar ",16.4,0.19,-0.32,HIP91009,91009.0
2136270970157966464,0.014636530839998076,1,5,1338,292.4266666666666,51.72972222222222,2000,3.76,"A5Vn   ",37.5,0.02,0.13,HIP95853,95853.0
1511793067598402944,0.019561523645321707,1,5,960,213.3708333333333,51.78972222222222,2000,4.53,"A8IV   ",47.5,0.06,-0.01,HIP69483,69483.0
1604859511344338816,0.030809715546124408,1,5,979,216.29916666666662,51.85055555555556,2000,4.04,"F7V    ",14.5,-0.24,-0.4,HIP70497,70497.0
443016706832479488,0.0042092796455357635,1,5,239,50.478333333333325,52.331388888888895,2000,9.05,"K5     ",22.7,-0.31,-0.27,HIP15673,15673.0
851346566283231616,0.004192634580617416,1,5,694,153.48916666666665,52.50666666666667,2000,9.53,"K5     ",22.8,0.09,-0.76,HIP50125,50125.0
272855565762295680,0.006229676337145401,1,5,326,69.42041666666667,52.89361111111111,2000,8.62,"K8V    ",10.1,0.31,-0.48,HIP21553,21553.0
2182197777015312512,0.005913344546240626,1,5,1436,312.63791666666657,52.89944444444444,2000,9.69,"K5     ",22.4,0.29,0.44,HIP102870,102870.0
