,Source Name,Association,RA,Dec,Gal l,Gal b,Flux 1-100 GeV(photons cm-2s-1),+/-,Spectral Index,+/-.1,Variability Index,Classification,Light Curve(Likelihood),Spectrum,DataAccess
96,3FGL J1225.4-3448,,186.356,-34.807,296.9,27.7599,1.92488e-10,7.07509e-11,1.7597,0.244618,33.9225,Unassociated,Link,Link,Link
97,3FGL J1250.2-0233,,192.568,-2.5638,302.344,60.3066,9.25646e-11,5.21477e-11,1.09753,0.297504,26.468,Unassociated,Link,Link,Link
98,3FGL J1251.0-4943,,192.773,-49.7314,302.875,13.1403,5.40545e-10,9.74351e-11,2.03018,0.139869,36.26,Unassociated,Link,Link,Link
99,3FGL J1306.4-6043,,196.615,-60.7317,304.768,2.08643,5.5165e-09,3.05815e-10,1.95605,0.0738954,35.6882,Unassociated,Link,Link,Link
100,3FGL J1308.7-5738,,197.199,-57.6394,305.263,5.15373,5.07881e-10,1.1528e-10,2.67855,0.137687,33.824,Unassociated,Link,Link,Link
101,3FGL J1323.2-3901,,200.81,-39.0247,309.658,23.4313,4.15062e-10,8.81569e-11,2.52263,0.144586,35.5372,Unassociated,Link,Link,Link
102,3FGL J1325.2-5411,,201.314,-54.1859,307.921,8.35787,7.51849e-10,1.23495e-10,2.47465,0.101433,31.6868,Unassociated,Link,Link,Link
103,3FGL J1334.3-4152,,203.587,-41.8685,311.431,20.2939,2.54638e-10,1.04093e-10,2.00637,0.327667,38.4986,Unassociated,Link,Link,Link
104,3FGL J1342.4-6904,,205.611,-69.0714,307.485,-6.65181,4.09018e-10,1.00532e-10,2.6378,0.169337,33.3065,Unassociated,Link,Link,Link
105,3FGL J1404.7-5844,,211.191,-58.7395,312.337,2.78682,6.41271e-10,2.13638e-10,2.04168,0.265073,39.2054,Unassociated,Link,Link,Link
106,3FGL J1411.4-0724,,212.855,-7.4143,335.071,50.399,2.65719e-10,8.63173e-11,1.89791,0.207688,37.256,Unassociated,Link,Link,Link
107,3FGL J1438.6-4209,,219.669,-42.1607,323.331,16.424,3.97798e-10,8.6055e-11,2.32115,0.215228,33.8211,Unassociated,Link,Link,Link
108,3FGL J1444.0-7033,,221.013,-70.5636,312.098,-9.723,4.05902e-10,9.23698e-11,2.44857,0.155325,37.9015,Unassociated,Link,Link,Link
109,3FGL J1457.6-6249,,224.4,-62.8296,316.777,-3.39988,7.90275e-10,1.60183e-10,2.44984,0.115998,33.4204,Unassociated,Link,Link,Link
110,3FGL J1457.6-5355,,224.412,-53.9259,320.935,4.4749,5.66322e-10,1.26386e-10,2.41864,0.16078,38.436,Unassociated,Link,Link,Link
111,3FGL J1458.7-2120,,224.688,-21.3346,338.591,32.5782,5.62414e-10,9.67487e-11,2.34168,0.109259,35.3561,Unassociated,Link,Link,Link
112,3FGL J1513.3-3719,,228.329,-37.3186,331.863,17.4577,2.12597e-10,7.95013e-11,1.68497,0.220339,29.4917,Unassociated,Link,Link,Link
113,3FGL J1517.0+2637,,229.253,26.6305,40.5371,57.6493,1.97756e-10,6.25582e-11,2.00135,0.228394,28.3951,Unassociated,Link,Link,Link
114,3FGL J1541.6+1414,,235.403,14.234,23.6763,48.3916,3.05139e-10,8.89091e-11,1.97511,0.225121,38.1866,Unassociated,Link,Link,Link
115,3FGL J1549.4-4832,,237.375,-48.5384,330.684,4.5009,9.10036e-10,1.61917e-10,2.74199,0.0978589,31.0826,Unassociated,Link,Link,Link
116,3FGL J1549.9-3044,,237.475,-30.7455,342.368,18.1415,1.83027e-10,6.23251e-11,1.43961,0.175566,35.2586,Unassociated,Link,Link,Link
117,3FGL J1624.2-3957,,246.066,-39.9566,341.102,6.64709,8.67859e-10,1.73491e-10,2.51979,0.126021,32.4702,Unassociated,Link,Link,Link
118,3FGL J1625.1-0021,,246.279,-0.3586,13.8808,31.8378,3.56964e-09,2.11807e-10,1.66357,0.116929,37.31,Unassociated,Link,Link,Link
119,3FGL J1625.6-2058,,246.422,-20.9788,355.668,19.2877,6.84538e-10,1.31049e-10,2.54092,0.106449,39.463,Unassociated,Link,Link,Link
120,3FGL J1626.3-4406,,246.579,-44.1117,338.373,3.48124,6.02736e-10,1.40855e-10,2.92323,0.203209,39.5735,Unassociated,Link,Link,Link
121,3FGL J1627.8+3217,,246.968,32.2988,52.9583,43.2098,5.69284e-10,7.8459e-11,2.13928,0.0900996,33.0275,Unassociated,Link,Link,Link
122,3FGL J1628.1-3344,,247.027,-33.7417,346.196,10.3679,5.65611e-10,1.30757e-10,2.1166,0.174274,36.8333,Unassociated,Link,Link,Link
123,3FGL J1628.1-5740,,247.034,-57.6754,328.784,-6.12937,4.89239e-10,1.11425e-10,2.46391,0.154675,36.789,Unassociated,Link,Link,Link
124,3FGL J1628.2-2431c,,247.069,-24.528,353.26,16.5119,1.83684e-09,2.51782e-10,2.37212,0.0764392,30.2843,Unassociated,Link,Link,Link
125,3FGL J1628.7-8056,,247.176,-80.9341,310.846,-21.6224,2.74306e-10,7.5835e-11,2.75426,0.151138,33.3842,Unassociated,Link,Link,Link
126,3FGL J1630.2-1052,,247.554,-10.867,4.90696,24.7818,5.53631e-10,1.17674e-10,2.29769,0.116311,29.2417,Unassociated,Link,Link,Link
127,3FGL J1630.3-4346,,247.594,-43.7672,339.128,3.19084,7.28073e-10,3.72673e-10,2.12662,0.475736,39.5878,Unassociated,Link,Link,Link
128,3FGL J1632.8+3838,,248.202,38.6477,61.7412,42.8468,4.13536e-10,9.84323e-11,2.45232,0.200962,29.2697,Unassociated,Link,Link,Link
129,3FGL J1644.6-0911,,251.174,-9.1856,8.67645,22.8728,4.58881e-10,1.09717e-10,2.56821,0.142794,38.5097,Unassociated,Link,Link,Link
130,3FGL J1645.7-2149,,251.448,-21.8241,358.092,15.1341,1.48262e-09,1.99416e-10,2.29088,0.197373,37.0821,Unassociated,Link,Link,Link
131,3FGL J1648.6-5635,,252.166,-56.5841,331.464,-7.4941,4.70626e-10,1.06081e-10,2.80108,0.130584,38.295,Unassociated,Link,Link,Link
132,3FGL J1655.1-3954,,253.784,-39.9047,345.073,2.24962,3.68696e-10,2.08365e-10,1.67991,0.291421,34.0862,Unassociated,Link,Link,Link
133,3FGL J1656.9-3919c,,254.245,-39.3274,345.746,2.33374,1.15714e-09,2.61007e-10,2.45301,0.377114,39.6478,Unassociated,Link,Link,Link
134,3FGL J1702.1-2524,,255.53,-25.4128,357.496,9.98409,3.13197e-10,1.35874e-10,1.75934,0.278702,24.9302,Unassociated,Link,Link,Link
135,3FGL J1703.6-2850,,255.924,-28.8477,354.922,7.64966,5.09251e-10,1.24702e-10,2.22685,0.166135,26.8785,Unassociated,Link,Link,Link
136,3FGL J1719.2-2433,,259.819,-24.5514,0.48673,7.31752,7.3934e-10,1.59491e-10,2.66495,0.121348,39.7124,Unassociated,Link,Link,Link
137,3FGL J1721.4-5253,,260.356,-52.8969,337.295,-9.10182,6.47096e-10,1.20346e-10,2.58453,0.124407,38.2319,Unassociated,Link,Link,Link
138,3FGL J1722.7-0415,,260.691,-4.2644,18.495,17.5166,1.01953e-09,1.69845e-10,2.29492,0.0918857,34.0286,Unassociated,Link,Link,Link
139,3FGL J1725.0-0513,,261.251,-5.2228,17.9235,16.5514,6.14953e-10,1.57219e-10,2.01844,0.177643,36.8594,Unassociated,Link,Link,Link
140,3FGL J1729.9-0859,,262.491,-8.9861,15.218,13.576,3.78808e-10,1.09641e-10,2.44828,0.24257,28.7197,Unassociated,Link,Link,Link
141,3FGL J1730.6-0357,,262.665,-3.9524,19.8037,15.9657,1.32514e-09,1.89265e-10,1.86748,0.320702,29.9717,Unassociated,Link,Link,Link
142,3FGL J1736.0-2701,,264.019,-27.0201,0.510727,2.80166,2.50016e-09,3.65457e-10,2.55461,0.232944,38.4509,Unassociated,Link,Link,Link
143,3FGL J1740.5-2642,,265.137,-26.7115,1.30435,2.12292,2.84379e-09,3.51687e-10,2.30185,0.190826,33.4228,Unassociated,Link,Link,Link
144,3FGL J1744.8-1557,,266.215,-15.9588,11.0344,6.87593,7.33879e-10,1.52772e-10,2.43483,0.126945,32.9636,Unassociated,Link,Link,Link
145,3FGL J1746.6+0433,,266.652,4.5595,29.5771,16.4909,4.85501e-10,1.15557e-10,2.54368,0.159463,39.8605,Unassociated,Link,Link,Link
146,3FGL J1757.8-3126,,269.47,-31.4458,359.19,-3.55792,1.17313e-09,1.99712e-10,2.41952,0.100919,38.5426,Unassociated,Link,Link,Link
147,3FGL J1759.2-3848,,269.814,-38.8107,352.887,-7.42665,7.65115e-10,1.41225e-10,2.23629,0.11887,32.4604,Unassociated,Link,Link,Link
148,3FGL J1802.4-3043,,270.614,-30.7242,0.303816,-4.05385,9.71004e-10,1.86922e-10,2.11069,0.121968,37.902,Unassociated,Link,Link,Link
149,3FGL J1808.4-3519,,272.101,-35.3291,356.85,-7.36263,5.98118e-10,1.2455e-10,2.30896,0.124247,28.4385,Unassociated,Link,Link,Link
150,3FGL J1808.4-3703,,272.124,-37.0507,355.325,-8.18848,5.12305e-10,1.13989e-10,2.19095,0.136915,36.7478,Unassociated,Link,Link,Link
151,3FGL J1809.0+3517,,272.273,35.2852,61.9837,23.3824,3.19148e-10,6.88834e-11,2.4414,0.170035,38.0,Unassociated,Link,Link,Link
152,3FGL J1809.2-2725,,272.315,-27.4281,3.91561,-3.75485,8.05768e-10,1.70733e-10,2.30889,0.130421,37.4891,Unassociated,Link,Link,Link
153,3FGL J1813.6+2820,,273.421,28.3364,55.2613,20.1752,3.67968e-10,8.1078e-11,2.2068,0.156122,38.8114,Unassociated,Link,Link,Link
154,3FGL J1813.6-1148,,273.423,-11.8084,18.1223,2.83767,1.18063e-09,1.94754e-10,2.87415,0.14466,31.6663,Unassociated,Link,Link,Link
155,3FGL J1818.5+1320,,274.633,13.3374,41.3098,13.2441,3.93358e-10,9.71953e-11,2.00759,0.159463,37.0668,Unassociated,Link,Link,Link
156,3FGL J1823.2-4722,,275.805,-47.3805,347.058,-15.1612,4.33809e-10,9.00565e-11,2.0415,0.135042,36.0204,Unassociated,Link,Link,Link
157,3FGL J1827.7+1141,,276.925,11.6971,40.7816,10.5178,6.78575e-10,1.1865e-10,2.11203,0.107616,38.6014,Unassociated,Link,Link,Link
158,3FGL J1829.2-1504,,277.321,-15.0827,17.0148,-2.04703,5.56976e-10,2.99161e-10,1.60578,0.295216,33.4946,Unassociated,Link,Link,Link
159,3FGL J1829.9-0203c,,277.488,-2.0541,28.647,3.8364,1.76687e-09,3.39887e-10,2.38569,0.127668,35.9734,Unassociated,Link,Link,Link
160,3FGL J1831.6-6503,,277.919,-65.0656,329.953,-22.4061,6.67482e-10,1.109e-10,1.95853,0.298343,35.3304,Unassociated,Link,Link,Link
161,3FGL J1831.7-0230,,277.942,-2.5007,28.4585,3.22842,2.78819e-09,3.73439e-10,2.85462,0.160434,31.105,Unassociated,Link,Link,Link
162,3FGL J1831.7-0157c,,277.948,-1.9614,28.9409,3.47119,1.74935e-09,3.34975e-10,2.53959,0.14818,38.1796,Unassociated,Link,Link,Link
163,3FGL J1842.2+2742,,280.563,27.7026,57.1313,14.0961,6.98531e-10,1.04954e-10,2.13337,0.0980261,38.6989,Unassociated,Link,Link,Link
