source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_obs_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,visibility_periods_used,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper
5057512114903229056,646661771,2015.5,53.34496579300613,1.701286072704518,-27.799134537376545,8.827714392446321,,,,,,,,90,87.85049,0.0,0.0,8,99,61.888396610698,1.364597194186489,45.352867,21.209343,,,,,,,,223.6092904932781,-54.236380925515725,41.40034466937243,-45.249070562069356,,,,,,,,,,,,,
5057478609862822656,188213223,2015.5,53.08660300965868,0.07627534630972367,-28.10934967121529,0.1317023783705791,2.779688926382043,0.1756160882883187,15.828214,12.285429971057106,0.19557089719131893,-17.263076280676444,0.29602311316788166,578,658.61597,0.2983457986704554,1.0517406871748336,17,605,864.4631108754573,0.9439500383953172,915.7933,18.3465,19.669365,17.16442,2.5049458,1.3228645,1.1820812,,,224.07907946334487,-54.50735422225957,40.945154435994894,-45.46356214741949,,,,,,,,,,,,,
5057326537957504768,454967137,2015.5,53.1899448215474,0.05223339662285025,-28.41725286438322,0.08532450161707962,0.6925690361392226,0.10969866003818424,6.3133774,18.694294831210478,0.12727156849976543,-15.473416096922591,0.2070190964605235,460,492.11337,0.0,0.0,19,501,1613.6683608517358,1.281064295193223,1259.6311,17.66883,18.186573,16.909605,1.276968,0.51774216,0.75922585,,,224.62563441983207,-54.45966181384597,40.91727703267186,-45.78404481393404,,,,,,,,,,,,,
5057477888308316416,1298359239,2015.5,52.92725306936317,2.5932763352954917,-28.11193176776947,5.883907805924624,,,,,,,,322,9630.558,19.859330551479164,337.4141546557395,9,394,139.7141158460767,0.9647786900078296,144.81468,20.325266,19.87416,18.201214,1.6729469,-0.45110512,2.124052,,,224.04932627717417,-54.646869075154115,40.75559572692629,-45.41804311342594,,,,,,,,,,,,,
5057326537957504640,450816309,2015.5,53.189755972487866,0.03702460911084139,-28.41485349459154,0.05916487081968649,0.31166810216412233,0.07632282331981388,4.0835505,6.939484119573356,0.09057753169672968,-15.99744351436371,0.14247828236852517,458,433.1418,0.0,0.0,19,491,2947.5708850526253,1.7265067641451441,1707.2455,17.014706,17.313616,16.533312,0.78030396,0.29891014,0.4813938,,,224.62150573998213,-54.45950367051706,40.91822903473796,-45.781733149721525,100001,5869.0,5440.7466,6012.0,0.0492,0.015,0.1111,,,,,,
5057497954395703552,225408154,2015.5,52.911157902612686,0.08898954314964827,-27.833474570403673,0.16332734925518574,0.08768617056313723,0.21002430261331617,0.41750488,4.555288417770653,0.2600603320813297,-1.921938135362411,0.44467783358646396,707,825.4301,0.2705900064737851,0.6957405474495559,16,745,680.9732185630668,0.8238805175692128,826.54364,18.605541,18.840492,18.164036,0.67645645,0.23495102,0.44150543,,,223.5696970855254,-54.62090586196979,40.871512206047754,-45.151417951347725,,,,,,,,,,,,,
5057484760256363136,1080785828,2015.5,53.34499729024939,0.42502348579129734,-27.923322186003027,0.6612423372519429,0.1264734178153912,0.7244516825248551,0.17457813,0.12098585424869929,1.189866409759432,0.028126850282131095,1.5179757799157267,533,522.68164,0.0,0.0,17,539,117.35261922821438,0.801458820743357,146.42377,20.514633,20.504171,20.134447,0.36972427,-0.010461807,0.38018608,,,223.81947650218046,-54.254799635170805,41.340759917348805,-45.36597419493318,,,,,,,,,,,,,
5057512763442952960,270196457,2015.5,53.28557060757713,0.1464830072576959,-27.804494732077483,0.24918644444963048,1.2443790957021272,0.3092172568064119,4.024287,20.947560122792794,0.3830479522996175,2.740261973689827,0.5306805332905691,767,826.79474,0.525101696134135,1.0287585473733558,19,803,282.7922209810473,0.5689239861092914,497.06503,19.559696,20.74227,18.36282,2.3794498,1.1825733,1.1968765,,,223.6048893850917,-54.289130026535275,41.32753545151849,-45.23638426528802,,,,,,,,,,,,,
5057409340630812032,101953793,2015.5,53.3895125858935,0.33827888139837314,-28.41232982298624,0.5496529782277101,4.217864537682738,0.7297427522234289,5.7799335,86.03511045100025,0.8388931802879185,-16.20785898351574,1.3042899032020547,420,543.5283,1.8269800991296228,2.330731996824903,19,467,147.44967685318971,0.6517544082702649,226.23503,20.266756,21.405184,18.917336,2.4878483,1.1384277,1.3494205,,,224.6579606680703,-54.2850804165208,41.15640308050715,-45.839295033158315,,,,,,,,,,,,,
5057380822047649792,1616984848,2015.5,52.768906011069916,0.09814351638191296,-28.30595801976922,0.18500935763363324,0.6447670947451232,0.23542756068557086,2.7387068,19.86126026196768,0.229393966433277,3.580978471819896,0.37318797657826125,570,600.9098,0.27089215061731886,0.4971802319551548,18,614,604.5077798098096,0.8621341635017207,701.176,18.734861,19.550673,17.755962,1.7947102,0.81581116,0.978899,,,224.34886571505916,-54.81179499071169,40.47378385349199,-45.55251004257001,,,,,,,,,,,,,
