"Source Name","Association","RA","Dec","Gal l","Gal b","Flux 1-100 GeV(photons cm-2s-1)","+/-","Spectral Index","+/-","Variability Index","Classification","Light Curve(Likelihood)","Spectrum","DataAccess"
"3FGL J0412.0+0229",,"63.0244","2.496","189.621","-33.3469","3.66743e-10","9.06763e-11","2.39865","0.149902","59.3831","Unassociated","Link","Link","Link"
"3FGL J0414.9-0840",,"63.7337","-8.6745","201.85","-38.6051","3.13296e-10","7.14979e-11","2.40366","0.151447","53.6011","Unassociated","Link","Link","Link"
"3FGL J0415.7-4351",,"63.9408","-43.8649","249.109","-45.9784","3.55697e-10","6.92413e-11","2.48317","0.115175","39.1071","Unassociated","Link","Link","Link"
"3FGL J0418.2+3412",,"64.5738","34.2087","164.421","-11.5171","3.98115e-10","8.92983e-11","2.37227","0.14025","42.1382","Unassociated","Link","Link","Link"
"3FGL J0419.1+6636",,"64.7782","66.6049","141.536","11.5684","1.2591e-9","1.16715e-10","2.31156","0.0578958","49.1536","Unassociated","Link","Link","Link"
"3FGL J0420.4+1448",,"65.1137","14.8095","179.885","-24.2149","2.70196e-10","9.73519e-11","2.86627","0.173941","46.4678","Unassociated","Link","Link","Link"
"3FGL J0420.4-6013",,"65.1198","-60.227","271.156","-41.7814","2.59511e-10","6.28431e-11","1.84529","0.185127","40.4581","Unassociated","Link","Link","Link"
"3FGL J0420.6-3742",,"65.1642","-37.7149","240.29","-45.1886","6.36318e-10","8.62765e-11","2.33517","0.100105","53.897","Unassociated","Link","Link","Link"
"3FGL J0421.6+1950",,"65.4042","19.8469","175.916","-20.7492","6.06924e-10","1.12628e-10","2.331","0.112009","47.0757","Unassociated","Link","Link","Link"
"3FGL J0423.5+5442",,"65.8996","54.7058","150.487","3.61212","7.46171e-10","1.61716e-10","2.62529","0.151782","61.847","Unassociated","Link","Link","Link"
"3FGL J0425.8+5600",,"66.4516","56.014","149.768","4.75038","6.60589e-10","1.17393e-10","2.34761","0.16564","51.6734","Unassociated","Link","Link","Link"
"3FGL J0426.3+3510",,"66.5876","35.1703","164.885","-9.65741","4.51761e-10","1.05772e-10","2.48868","0.134388","36.3705","Unassociated","Link","Link","Link"
"3FGL J0426.7+5437",,"66.6813","54.6168","150.867","3.87389","2.29564e-9","2.18097e-10","2.46704","0.119907","51.8322","Unassociated","Link","Link","Link"
"3FGL J0427.9-6704",,"66.9821","-67.0777","279.135","-38.5445","6.72039e-10","7.95707e-11","2.45722","0.0732055","37.866","Unassociated","Link","Link","Link"
"3FGL J0429.8+3611c",,"67.4691","36.1951","164.622","-8.43459","6.7948e-10","1.40851e-10","2.37335","0.116726","40.2137","Unassociated","Link","Link","Link"
"3FGL J0430.1-3103",,"67.5428","-31.0655","231.402","-42.5319","2.281e-10","5.74523e-11","1.97108","0.18208","44.1292","Unassociated","Link","Link","Link"
"3FGL J0431.7+3503",,"67.9309","35.0559","165.727","-8.92945","9.1024e-10","1.59724e-10","2.65059","0.185453","48.6648","Unassociated","Link","Link","Link"
"3FGL J0432.5+0539",,"68.1362","5.6609","189.987","-27.3545","4.21631e-10","9.27705e-11","2.69476","0.128813","50.1038","Unassociated","Link","Link","Link"
"3FGL J0434.3-1411c",,"68.5772","-14.197","210.736","-36.7141","3.77897e-10","8.85304e-11","2.47513","0.12969","61.867","Unassociated","Link","Link","Link"
"3FGL J0437.7-7330",,"69.439","-73.5149","286.085","-35.1934","3.7111e-10","7.25905e-11","2.09888","0.183423","54.5193","Unassociated","Link","Link","Link"
"3FGL J0447.1-2540",,"71.7949","-25.6757","225.602","-37.6949","3.52849e-10","6.93385e-11","2.50135","0.131092","38.6956","Unassociated","Link","Link","Link"
"3FGL J0451.6+7231",,"72.9165","72.518","138.776","17.5463","2.15562e-10","6.52228e-11","2.65097","0.213138","41.7294","Unassociated","Link","Link","Link"
"3FGL J0451.7+5722",,"72.94","57.3734","151.114","8.31955","4.65495e-10","9.35027e-11","2.48663","0.136471","28.3226","Unassociated","Link","Link","Link"
"3FGL J0456.2-6924",,"74.0667","-69.4077","280.748","-35.2829","7.6177e-10","9.85442e-11","2.30777","0.0768863","56.4319","Unassociated","Link","Link","Link"
"3FGL J0502.6+1759",,"75.6553","17.9952","183.708","-14.2464","4.29566e-10","1.04351e-10","2.54119","0.153387","45.809","Unassociated","Link","Link","Link"
"3FGL J0506.3-0357",,"76.5865","-3.9522","204.036","-25.1152","4.18402e-10","1.03622e-10","2.1676","0.134481","27.2916","Unassociated","Link","Link","Link"
"3FGL J0506.9+0321",,"76.7352","3.3616","197.192","-21.3745","2.39076e-10","7.93589e-11","1.80433","0.217031","33.1199","Unassociated","Link","Link","Link"
"3FGL J0507.5-0906",,"76.8883","-9.1017","209.298","-27.1913","3.89766e-10","8.23787e-11","2.34381","0.135938","44.2875","Unassociated","Link","Link","Link"
"3FGL J0512.0-3737",,"78.0154","-37.6231","241.513","-35.0665","2.39558e-10","6.84281e-11","2.07485","0.212487","39.7356","Unassociated","Link","Link","Link"
"3FGL J0514.6-4406",,"78.6746","-44.1133","249.474","-35.3927","3.50549e-10","7.32325e-11","2.28176","0.254787","58.7478","Unassociated","Link","Link","Link"
"3FGL J0516.6+1012",,"79.1702","10.2062","192.374","-15.7308","3.09853e-10","1.14147e-10","1.99974","0.300694","36.3858","Unassociated","Link","Link","Link"
"3FGL J0517.1+2628c",,"79.2915","26.4788","178.616","-6.61569","8.33348e-10","1.37854e-10","2.53025","0.0974296","49.7352","Unassociated","Link","Link","Link"
"3FGL J0523.3-2528",,"80.8392","-25.4763","228.202","-29.8264","1.76866e-9","1.22149e-10","2.15385","0.0447697","50.1532","Unassociated","Link","Link","Link"
"3FGL J0523.7+3328",,"80.9324","33.4742","173.651","-1.47343","6.33217e-10","1.32688e-10","2.62812","0.110597","38.8227","Unassociated","Link","Link","Link"
"3FGL J0524.4+2839",,"81.124","28.6548","177.735","-4.04581","8.97297e-10","1.32378e-10","2.1242","0.110653","53.2414","Unassociated","Link","Link","Link"
"3FGL J0524.5-6937",,"81.1278","-69.6294","280.3","-32.8316","2.49589e-10","8.72862e-11","1.63339","0.19438","36.4205","Unassociated","Link","Link","Link"
"3FGL J0525.2-6614",,"81.324","-66.2436","276.296","-33.2953","4.42677e-10","8.79361e-11","2.10803","0.158416","52.1006","Unassociated","Link","Link","Link"
"3FGL J0526.4+2247",,"81.6091","22.798","182.875","-6.93137","6.71455e-10","1.30177e-10","2.40453","0.168565","56.7216","Unassociated","Link","Link","Link"
"3FGL J0527.3+6647",,"81.8355","66.7846","145.568","17.0499","2.05202e-10","6.27096e-11","1.85164","0.20173","36.9588","Unassociated","Link","Link","Link"
"3FGL J0529.2+3822",,"82.3094","38.3669","170.214","2.18268","9.86745e-10","1.49102e-10","2.53351","0.0773403","60.0715","Unassociated","Link","Link","Link"
"3FGL J0533.2+5944",,"83.311","59.7415","152.249","14.1112","3.84269e-10","8.26756e-11","2.63708","0.108362","52.6261","Unassociated","Link","Link","Link"
"3FGL J0533.8-3754",,"83.4635","-37.9053","242.793","-30.8866","4.30949e-10","7.64638e-11","2.34325","0.124527","57.4462","Unassociated","Link","Link","Link"
"3FGL J0535.3-6559",,"83.8283","-65.9973","275.865","-32.317","5.24248e-10","8.72738e-11","2.19958","0.122756","45.5324","Unassociated","Link","Link","Link"
